regname,examyear,englishaveragemark
м.Київ,2019,155.569
м.Київ,2020,155.134
Львівська область,2020,151.872
Івано-Франківська область,2020,150.520
Львівська область,2019,150.250
Чернівецька область,2019,150.140
Тернопільська область,2020,149.959
Чернівецька область,2020,149.675
Волинська область,2019,149.535
Волинська область,2020,148.982
Харківська область,2020,148.143
Рівненська область,2020,147.823
Чернігівська область,2020,147.793
Івано-Франківська область,2019,147.425
Черкаська область,2020,147.085
Харківська область,2019,146.798
Полтавська область,2020,146.605
Тернопільська область,2019,146.570
Вінницька область,2020,146.283
Полтавська область,2019,146.259
Закарпатська область,2020,146.016
Київська область,2020,145.966
Хмельницька область,2020,145.905
Сумська область,2020,145.817
Кіровоградська область,2020,145.685
Хмельницька область,2019,145.461
Одеська область,2020,144.967
Рівненська область,2019,144.834
Дніпропетровська область,2020,144.781
Кіровоградська область,2019,144.663
Закарпатська область,2019,144.619
Запорізька область,2020,144.539
Житомирська область,2020,144.337
Вінницька область,2019,144.282
Черкаська область,2019,144.274
Чернігівська область,2019,144.151
Одеська область,2019,143.798
Житомирська область,2019,143.792
Сумська область,2019,143.711
Дніпропетровська область,2019,143.019
Київська область,2019,142.944
Херсонська область,2020,142.908
Запорізька область,2019,142.565
Миколаївська область,2020,142.398
Херсонська область,2019,141.551
Миколаївська область,2019,141.525
Донецька область,2020,141.463
Донецька область,2019,140.415
Луганська область,2020,140.040
Луганська область,2019,139.090
